date,open,high,low,close,volume
8/16/16,45.098,45.438,44.682,44.722,11335735
8/17/16,44.866,44.966,44.56,44.648,8935635
8/18/16,44.764,45.132,44.458,44.702,8572335
8/19/16,44.708,45.0338,44.506,45,8297650
8/22/16,44.834,45.022,44.536,44.586,10327465
8/23/16,44.864,45.698,44.56,44.968,23922090
8/24/16,45.41,45.43,44.444,44.524,12853465
8/25/16,44.622,44.76,44.154,44.192,8812595
8/26/16,44.428,44.571,43.764,43.998,11194960
8/29/16,44.03,44.08,43,43.04,16331670
8/30/16,43.222,43.222,42.104,42.268,15844310
8/31/16,42.086,42.52,41.73,42.402,16382740
9/1/16,41.802,42.22,40.1,40.154,39715690
9/2/16,40.466,40.64,39.24,39.556,29887065
9/6/16,39.804,40.65,39.8,40.566,21952860
9/7/16,41.1,41.2994,40.142,40.342,18204615
9/8/16,39.91,39.978,39.272,39.472,16889730
9/9/16,39.818,39.984,38.74,38.894,18784960
9/12/16,39,40.2738,38.82,39.66,18575805
9/13/16,39.412,39.698,38.69,39.21,17946895
9/14/16,39.15,39.585,38.9712,39.282,11296155
9/15/16,39.298,40.5039,39.28,40.084,15425575
9/16/16,40.084,41.14,39.8,41.08,15539040
9/19/16,41.4,41.886,41,41.268,11497490
9/20/16,41.37,41.55,40.782,40.928,12052440
9/21/16,41.274,41.4,40.312,41.044,13167515
9/22/16,41.28,41.456,40.6,41.286,11914510
9/23/16,41.198,42.036,41.134,41.49,14526145
9/26/16,41.3,42.2,41.3,41.798,11971790
9/27/16,41.93,41.9964,40.9219,41.162,16865900
9/28/16,41.502,41.65,41.052,41.254,10441870
9/29/16,41.12,41.466,40.116,40.14,13635145
9/30/16,40.442,40.996,39.91,40.806,12931365
10/3/16,42.46,43.1338,41.65,42.74,29999460
10/4/16,42.62,42.664,41.764,42.282,17707405
10/5/16,42.448,42.63,41.624,41.692,9387670
10/6/16,40.492,40.842,40.042,40.2,23517010
10/7/16,40.2,40.264,39.16,39.322,17465090
10/10/16,40.27,40.828,39.932,40.19,16581485
10/11/16,40.37,40.44,39.662,40.02,11642110
10/12/16,40.19,40.776,40.084,40.302,9853445
10/13/16,40.1,40.179,39.41,40.048,12477065
10/14/16,40.132,40.286,39.26,39.302,21349250
10/17/16,39.41,39.678,38.4,38.792,22770400
10/18/16,39.198,39.894,38.652,39.82,28402375
10/19/16,39.948,41.332,39.612,40.712,34955915
10/20/16,40.424,40.6,39.41,39.82,25364385
10/21/16,39.72,40.314,39.482,40.018,14717010
10/24/16,40.2,40.789,40.05,40.552,13757810
10/25/16,40.58,40.938,40.24,40.468,12225070
10/26/16,40.2,40.638,40.02,40.448,28164205
10/27/16,42.268,42.74,40.33,40.802,65468720
10/28/16,40.8,41.064,39.966,39.994,21400705
10/31/16,40.498,40.498,39.162,39.546,23461365
11/1/16,39.608,39.7,37.621,38.158,35300180
11/2/16,38.01,38.539,37.501,37.604,21266910
11/3/16,37.8,38.294,37.408,37.484,13265115
11/4/16,37.8,38.692,37.192,38.112,25730215
11/7/16,38.718,38.858,38.01,38.642,19350560
11/8/16,38.758,39.498,38.252,38.988,16337900
11/9/16,37.375,38.4,36.79,38.012,40865325
11/10/16,38.21,38.322,36.084,37.07,33751705
11/11/16,36.848,37.776,36.6,37.712,19942520
11/14/16,37.6,37.65,35.638,36.29,32761025
11/15/16,36.556,37.286,36.41,36.754,19510090
11/16/16,36.53,36.946,36.242,36.786,17172185
11/17/16,36.698,37.898,36.422,37.732,24435335
11/18/16,38.13,38.6,37,37.004,26051735
11/21/16,37.008,37.778,36.882,36.904,21805215
11/22/16,37.168,38.294,36.742,38.234,28016805
11/23/16,38.122,39.1288,37.8,38.628,24459465
11/25/16,38.728,39.4474,38.728,39.33,11830490
11/28/16,39.096,39.87,38.91,39.224,22645910
11/29/16,39.112,39.346,37.9,37.914,22196280
11/30/16,38.2,38.378,37.5,37.88,17735520
12/1/16,37.65,37.706,36.2,36.376,25632005
12/2/16,36.576,36.976,36,36.294,20211620
12/5/16,36.502,37.778,36.502,37.36,20361195
12/6/16,37.104,37.316,36.5365,37.17,16958110
12/7/16,37.23,38.68,37,38.63,27309255
12/8/16,38.41,38.5,37.908,38.458,15970740
12/9/16,38.174,38.7672,38.162,38.436,13612525
12/12/16,38.56,38.884,38.208,38.486,12194380
12/13/16,38.636,40.256,38.6,39.63,34119420
12/14/16,39.748,40.6,39.352,39.738,20754635
12/15/16,39.682,40.148,39.478,39.516,16097835
12/16/16,39.616,40.518,39.52,40.498,18984445
12/19/16,40.498,40.89,39.968,40.546,17440355
12/20/16,40.61,41.8,40.5,41.758,23445355
12/21/16,41.69,42.446,41.482,41.54,26038110
12/22/16,41.644,41.998,41.3,41.69,15555540
12/23/16,41.6,42.69,41.542,42.668,23352320
12/27/16,42.976,44.45,42.884,43.906,29578660
12/28/16,44.306,44.76,43.44,43.948,18912280
12/29/16,43.712,43.84,42.8245,42.936,20224840
12/30/16,43.26,43.5,42.336,42.738,23213100
1/3/17,42.972,44.066,42.192,43.398,29616270
1/4/17,42.95,45.6,42.862,45.398,56067355
1/5/17,45.284,45.496,44.39,45.35,29558475
1/6/17,45.386,46.062,45.09,45.802,27639465
1/9/17,45.794,46.384,45.6,46.256,19897420
1/10/17,46.4,46.4,45.378,45.974,18299775
1/11/17,45.814,45.996,45.336,45.946,18254125
1/12/17,45.812,46.14,45.116,45.918,18951145
1/13/17,46,47.57,45.918,47.55,30464800
1/17/17,47.34,47.992,46.874,47.116,23087610
1/18/17,47.33,47.942,47.116,47.672,18844835
1/19/17,49.45,49.736,48.15,48.752,38661515
1/20/17,49.092,49.2,48.602,48.946,21021375
1/23/17,49.17,50.178,49.1,49.784,31314690
1/24/17,50,50.96,49.93,50.922,24827255
1/25/17,51.462,51.692,50.36,50.894,25731805
1/26/17,50.858,51.148,50.15,50.502,15760615
1/27/17,50.276,50.6,49.704,50.59,15831680
1/30/17,50.506,51.058,49.42,50.126,19005370
1/31/17,49.848,51.178,49.54,50.386,20580520
2/1/17,50.61,50.64,49.81,49.848,19794145
2/2/17,49.668,50.484,49.542,50.31,12498875
2/3/17,50.382,50.4358,49.936,50.266,10933615
2/6/17,50.2,51.564,50.126,51.554,17812585
2/7/17,51.638,52,51.284,51.496,21223875
2/8/17,51.47,52.672,51.24,52.416,19665070
2/9/17,53.25,54.236,53.23,53.84,39101110
2/10/17,53.958,54.19,53.222,53.846,18098695
2/13/17,54.148,56.158,54.102,56.12,35148025
2/14/17,55.806,57.478,55.722,56.196,36726120
2/15/17,56,56.448,55.288,55.952,24739280
2/16/17,55.52,56,53.7,53.79,35386610
2/17/17,53.16,54.578,52.83,54.446,31285745
2/21/17,55.09,56.28,54.802,55.478,28383735
2/22/17,56.062,56.69,54.52,54.702,43774875
2/23/17,52.8,52.932,51.112,51.198,74576245
2/24/17,50.532,51.65,50.04,51.4,40858130
2/27/17,49.634,49.672,48.402,49.246,57304050
2/28/17,48.838,50.2,48.78,49.998,30390725
3/1/17,50.836,50.97,49.822,50.004,24047440
